fecha_cita,tramo,n_citas,dia_semana,nombre_dia,es_finde,mes,anio,semana_iso,trimestre,dias_desde_inicio,grupo_dia,temporada,tramo_tarde,es_festivo,es_vispera_festivo,es_fecha_comercial,es_cierre
2024-05-09,mañana,0,3,Thursday,False,5,2024,19,2,0,entre_semana,primavera,0,False,False,False,False
2024-05-09,tarde,3,3,Thursday,False,5,2024,19,2,0,entre_semana,primavera,1,False,False,False,False
2024-05-10,mañana,1,4,Friday,False,5,2024,19,2,1,viernes,primavera,0,False,False,False,False
2024-05-10,tarde,2,4,Friday,False,5,2024,19,2,1,viernes,primavera,1,False,False,False,False
2024-05-11,mañana,2,5,Saturday,True,5,2024,19,2,2,fin_de_semana,primavera,0,False,False,False,False
2024-05-11,tarde,1,5,Saturday,True,5,2024,19,2,2,fin_de_semana,primavera,1,False,False,False,False
2024-05-12,mañana,1,6,Sunday,True,5,2024,19,2,3,fin_de_semana,primavera,0,False,False,False,False
2024-05-12,tarde,0,6,Sunday,True,5,2024,19,2,3,fin_de_semana,primavera,1,False,False,False,False
2024-05-13,mañana,0,0,Monday,False,5,2024,20,2,4,entre_semana,primavera,0,False,False,False,False
2024-05-13,tarde,1,0,Monday,False,5,2024,20,2,4,entre_semana,primavera,1,False,False,False,False
2024-05-14,mañana,0,1,Tuesday,False,5,2024,20,2,5,entre_semana,primavera,0,False,False,False,False
2024-05-14,tarde,1,1,Tuesday,False,5,2024,20,2,5,entre_semana,primavera,1,False,False,False,False
2024-05-15,mañana,1,2,Wednesday,False,5,2024,20,2,6,entre_semana,primavera,0,False,False,False,False
2024-05-15,tarde,2,2,Wednesday,False,5,2024,20,2,6,entre_semana,primavera,1,False,False,False,False
2024-05-16,mañana,0,3,Thursday,False,5,2024,20,2,7,entre_semana,primavera,0,False,False,False,False
2024-05-16,tarde,2,3,Thursday,False,5,2024,20,2,7,entre_semana,primavera,1,False,False,False,False
2024-05-17,mañana,0,4,Friday,False,5,2024,20,2,8,viernes,primavera,0,False,False,False,False
2024-05-17,tarde,4,4,Friday,False,5,2024,20,2,8,viernes,primavera,1,False,False,False,False
2024-05-18,mañana,1,5,Saturday,True,5,2024,20,2,9,fin_de_semana,primavera,0,False,False,False,False
2024-05-18,tarde,1,5,Saturday,True,5,2024,20,2,9,fin_de_semana,primavera,1,False,False,False,False
2024-05-19,mañana,1,6,Sunday,True,5,2024,20,2,10,fin_de_semana,primavera,0,False,False,False,False
2024-05-19,tarde,1,6,Sunday,True,5,2024,20,2,10,fin_de_semana,primavera,1,False,False,False,False
2024-05-20,mañana,2,0,Monday,False,5,2024,21,2,11,entre_semana,primavera,0,False,False,False,False
2024-05-20,tarde,1,0,Monday,False,5,2024,21,2,11,entre_semana,primavera,1,False,False,False,False
2024-05-21,mañana,0,1,Tuesday,False,5,2024,21,2,12,entre_semana,primavera,0,False,False,False,False
2024-05-21,tarde,1,1,Tuesday,False,5,2024,21,2,12,entre_semana,primavera,1,False,False,False,False
2024-05-22,mañana,0,2,Wednesday,False,5,2024,21,2,13,entre_semana,primavera,0,False,False,False,False
2024-05-22,tarde,0,2,Wednesday,False,5,2024,21,2,13,entre_semana,primavera,1,False,False,False,False
2024-05-23,mañana,2,3,Thursday,False,5,2024,21,2,14,entre_semana,primavera,0,False,False,False,False
2024-05-23,tarde,1,3,Thursday,False,5,2024,21,2,14,entre_semana,primavera,1,False,False,False,False
2024-05-24,mañana,2,4,Friday,False,5,2024,21,2,15,viernes,primavera,0,False,False,False,False
2024-05-24,tarde,2,4,Friday,False,5,2024,21,2,15,viernes,primavera,1,False,False,False,False
2024-05-25,mañana,2,5,Saturday,True,5,2024,21,2,16,fin_de_semana,primavera,0,False,False,False,False
2024-05-25,tarde,4,5,Saturday,True,5,2024,21,2,16,fin_de_semana,primavera,1,False,False,False,False
2024-05-26,mañana,0,6,Sunday,True,5,2024,21,2,17,fin_de_semana,primavera,0,False,False,False,False
2024-05-26,tarde,2,6,Sunday,True,5,2024,21,2,17,fin_de_semana,primavera,1,False,False,False,False
2024-05-27,mañana,0,0,Monday,False,5,2024,22,2,18,entre_semana,primavera,0,False,False,False,False
2024-05-27,tarde,2,0,Monday,False,5,2024,22,2,18,entre_semana,primavera,1,False,False,False,False
2024-05-28,mañana,0,1,Tuesday,False,5,2024,22,2,19,entre_semana,primavera,0,False,False,False,False
2024-05-28,tarde,0,1,Tuesday,False,5,2024,22,2,19,entre_semana,primavera,1,False,False,False,False
2024-05-29,mañana,0,2,Wednesday,False,5,2024,22,2,20,entre_semana,primavera,0,False,False,False,False
2024-05-29,tarde,1,2,Wednesday,False,5,2024,22,2,20,entre_semana,primavera,1,False,False,False,False
2024-05-30,mañana,1,3,Thursday,False,5,2024,22,2,21,entre_semana,primavera,0,False,False,False,False
2024-05-30,tarde,1,3,Thursday,False,5,2024,22,2,21,entre_semana,primavera,1,False,False,False,False
2024-05-31,mañana,0,4,Friday,False,5,2024,22,2,22,viernes,primavera,0,False,False,False,False
2024-05-31,tarde,3,4,Friday,False,5,2024,22,2,22,viernes,primavera,1,False,False,False,False
2024-06-01,mañana,0,5,Saturday,True,6,2024,22,2,23,fin_de_semana,verano,0,False,False,False,False
2024-06-01,tarde,3,5,Saturday,True,6,2024,22,2,23,fin_de_semana,verano,1,False,False,False,False
2024-06-02,mañana,4,6,Sunday,True,6,2024,22,2,24,fin_de_semana,verano,0,False,False,False,False
2024-06-02,tarde,2,6,Sunday,True,6,2024,22,2,24,fin_de_semana,verano,1,False,False,False,False
2024-06-03,mañana,1,0,Monday,False,6,2024,23,2,25,entre_semana,verano,0,False,False,False,False
